date,code,open,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2013-09-16,sh.000300,2501.0770,2478.3900,2488.9020,10538328200,97043842349.0000,3,0.005157,1,-0.422363,0
2013-09-17,sh.000300,2480.8100,2427.3220,2478.3900,9945998200,93115107921.0000,3,0.004867,1,-2.060526,0
2013-09-18,sh.000300,2426.0400,2432.5100,2427.3220,7104075900,69341324599.0000,3,0.003480,1,0.213733,0
2013-09-23,sh.000300,2441.5160,2472.2880,2432.5100,8012835200,80920687856.0000,3,0.003925,1,1.635269,0
2013-09-24,sh.000300,2470.7150,2443.8850,2472.2880,9785301300,96769831421.0000,3,0.004793,1,-1.148858,0
2013-09-25,sh.000300,2440.8350,2429.0300,2443.8850,9051841800,89119216662.0000,3,0.004434,1,-0.607843,0
2013-09-26,sh.000300,2422.6310,2384.4430,2429.0300,8623677000,84183923178.0000,3,0.004224,1,-1.835585,0
2013-09-27,sh.000300,2382.2180,2394.9710,2384.4430,6597150800,66383990191.0000,3,0.003232,1,0.441522,0
2013-09-30,sh.000300,2406.2050,2409.0370,2394.9710,5951399200,60990141884.0000,3,0.002899,1,0.587321,0
2013-10-08,sh.000300,2406.4150,2441.8110,2409.0370,8478550600,84229908920.0000,3,0.004130,1,1.360458,0
2013-10-09,sh.000300,2432.9400,2453.5830,2441.8110,7627764500,76128340887.0000,3,0.003711,1,0.482100,0
2013-10-10,sh.000300,2455.6400,2429.3170,2453.5830,9032970600,89468020274.0000,3,0.004394,1,-0.989007,0
2013-10-11,sh.000300,2442.3640,2468.5080,2429.3170,9338826100,91811541654.0000,3,0.004543,1,1.613259,0
2013-10-14,sh.000300,2472.2670,2472.5420,2468.5080,10008130100,99109155920.0000,3,0.004868,1,0.163416,0
2013-10-15,sh.000300,2475.3240,2467.5170,2472.5420,8917349600,86100822006.0000,3,0.004337,1,-0.203228,0
2013-10-16,sh.000300,2459.0770,2421.3710,2467.5170,8897983400,83150844984.0000,3,0.004328,1,-1.870139,0
2013-10-17,sh.000300,2432.6450,2413.3300,2421.3710,7122247400,67722892391.0000,3,0.003464,1,-0.332085,0
2013-10-18,sh.000300,2415.1180,2426.0540,2413.3300,6029163000,59138754367.0000,3,0.002932,1,0.527233,0
2013-10-21,sh.000300,2431.9150,2471.3220,2426.0540,8490979500,82223144817.0000,3,0.004130,1,1.865913,0
2013-10-22,sh.000300,2470.2550,2445.8910,2471.3220,9070302900,83412053857.0000,3,0.004412,1,-1.029041,0
2013-10-23,sh.000300,2451.5560,2418.4910,2445.8910,9154535500,83286778556.0000,3,0.004452,1,-1.120252,0
2013-10-24,sh.000300,2412.2350,2400.5110,2418.4910,6456082100,60427235951.0000,3,0.003140,1,-0.743438,0
2013-10-25,sh.000300,2400.5170,2368.5590,2400.5110,7707018200,70778094834.0000,3,0.003748,1,-1.331046,0
2013-10-28,sh.000300,2372.5710,2365.9540,2368.5590,6287615200,56602098405.0000,3,0.003055,1,-0.109982,0
2013-10-29,sh.000300,2369.2160,2372.0530,2365.9540,10673783300,91741559592.0000,3,0.005187,1,0.257777,0
2013-10-30,sh.000300,2371.8530,2407.4710,2372.0530,9217812600,75735067216.0000,3,0.004479,1,1.493136,0
2013-10-31,sh.000300,2398.3950,2373.7180,2407.4710,8273696400,70393879838.0000,3,0.004020,1,-1.402008,0
2013-11-01,sh.000300,2373.9620,2384.9600,2373.7180,6305576200,57820026665.0000,3,0.003064,1,0.473601,0
2013-11-04,sh.000300,2397.2100,2380.4540,2384.9600,5179846100,48959462043.0000,3,0.002517,1,-0.188928,0
2013-11-05,sh.000300,2366.8840,2383.7690,2380.4540,6208448800,56935549943.0000,3,0.003017,1,0.139257,0
2013-11-06,sh.000300,2371.3240,2353.5680,2383.7690,6377666300,59536872794.0000,3,0.003099,1,-1.266940,0
2013-11-07,sh.000300,2351.8710,2340.5520,2353.5680,5482174700,50942569626.0000,3,0.002663,1,-0.553037,0
2013-11-08,sh.000300,2329.0840,2307.9450,2340.5520,5378850800,48564999878.0000,3,0.002612,1,-1.393130,0
2013-11-11,sh.000300,2305.9400,2315.8890,2307.9450,4573945700,42566548184.0000,3,0.002221,1,0.344196,0
2013-11-12,sh.000300,2319.3620,2340.0000,2315.8890,5268754500,49854763423.0000,3,0.002558,1,1.041116,0
2013-11-13,sh.000300,2325.3600,2288.1160,2340.0000,5984883100,53183050105.0000,3,0.002905,1,-2.217266,0
2013-11-14,sh.000300,2291.2690,2304.5010,2288.1160,5731035600,51945077793.0000,3,0.002782,1,0.716092,0
2013-11-15,sh.000300,2306.5490,2350.7340,2304.5010,8639177100,83147858433.0000,3,0.004192,1,2.006201,0
2013-11-18,sh.000300,2367.8830,2428.9030,2350.7340,11003463300,108549512988.0000,3,0.005339,1,3.325310,0
2013-11-19,sh.000300,2427.9280,2412.1630,2428.9030,7864829600,79884936328.0000,3,0.003816,1,-0.689200,0
2013-11-20,sh.000300,2428.7670,2424.8500,2412.1630,7229180100,67741428196.0000,3,0.003508,1,0.525960,0
2013-11-21,sh.000300,2412.4510,2409.9890,2424.8500,8770667700,82220527035.0000,3,0.004256,1,-0.612866,0
2013-11-22,sh.000300,2415.2900,2397.9620,2409.9890,7500067500,70052206585.0000,3,0.003640,1,-0.499052,0
2013-11-25,sh.000300,2385.7840,2388.6290,2397.9620,6614473400,63811265014.0000,3,0.003209,1,-0.389206,0
2013-11-26,sh.000300,2387.8260,2387.4160,2388.6290,5918586400,53334204356.0000,3,0.002872,1,-0.050778,0
2013-11-27,sh.000300,2386.3620,2414.4810,2387.4160,7529408800,70744775407.0000,3,0.003653,1,1.133650,0
2013-11-28,sh.000300,2419.1500,2439.5300,2414.4810,9066040600,86852445384.0000,3,0.004399,1,1.037452,0
2013-11-29,sh.000300,2442.6760,2438.9440,2439.5300,6180374600,61907374173.0000,3,0.002999,1,-0.024018,0
2013-12-02,sh.000300,2423.9690,2418.7880,2438.9440,11965512300,112921841120.0000,3,0.005805,1,-0.826423,0
2013-12-03,sh.000300,2410.6930,2442.7840,2418.7880,7445575200,72045234174.0000,3,0.003612,1,0.992061,0
2013-12-04,sh.000300,2439.8240,2475.1350,2442.7840,10265023500,94783931336.0000,3,0.004979,1,1.324353,0
2013-12-05,sh.000300,2476.4530,2468.1970,2475.1350,7770893200,72999931131.0000,3,0.003770,1,-0.280307,0
2013-12-06,sh.000300,2463.0430,2452.2870,2468.1970,6611408900,64843207895.0000,3,0.003207,1,-0.644597,0
2013-12-09,sh.000300,2460.0280,2450.8720,2452.2870,5716488400,57634539131.0000,3,0.002773,1,-0.057703,0
2013-12-10,sh.000300,2456.2300,2453.3220,2450.8720,6694142400,61236728790.0000,3,0.003247,1,0.099962,0
2013-12-11,sh.000300,2440.5030,2412.7630,2453.3220,6807514400,62808851026.0000,3,0.003302,1,-1.653231,0
2013-12-12,sh.000300,2406.7660,2410.0150,2412.7630,5014771900,47481447335.0000,3,0.002433,1,-0.113896,0
2013-12-13,sh.000300,2388.6590,2406.6390,2410.0150,5150119600,47583527668.0000,3,0.002498,1,-0.140081,0
2013-12-16,sh.000300,2408.6780,2367.9230,2406.6390,6458167400,62107893611.0000,3,0.003130,1,-1.608709,0
2013-12-17,sh.000300,2369.2550,2356.3760,2367.9230,4848389100,46306075570.0000,3,0.002350,1,-0.487648,0
